tender/id;tender/title;tender/description;tender/status;tender/procuringEntity/id;tender/value/currency;tender/value/amount;tender/procuringEntity/name;tender/procurementMethod;tender/procurementMethodDetails;tender/mainProcurementCategory;tender/additionalProcurementCategories;tender/tenderPeriod/startDate;tender/tenderPeriod/endDate;tender/tenderPeriod/durationInDays;tender/enquiryPeriod/startDate;tender/enquiryPeriod/endDate;tender/enquiryPeriod/durationInDays;tender/techniques/hasFrameworkAgreement;tender/competitive;language;tender/items/0/id;tender/items/0/description;tender/items/0/quantity;tender/items/0/unit/name;tender/items/0/unit/value/amount;tender/items/0/unit/value/currency;Total
10002-1903-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 8; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-23T11:00:00-03:00;2023-04-10T11:00:00-03:00;46;2023-02-23T09:01:00-03:00;2023-04-04T17:00:00-03:00;40;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;245000;ARS;88200000
10002-1903-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 8; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-23T11:00:00-03:00;2023-04-10T11:00:00-03:00;46;2023-02-23T09:01:00-03:00;2023-04-04T17:00:00-03:00;40;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;270000;ARS;97200000
10002-1903-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 8; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-23T11:00:00-03:00;2023-04-10T11:00:00-03:00;46;2023-02-23T09:01:00-03:00;2023-04-04T17:00:00-03:00;40;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;265000;ARS;95400000
101-0011-CDI23;Provisión y Servicio Técnico de Mantenimiento de equipo XEROX modelo ED 125; Mantenimiento y reparación de maquinaria y equipo-;complete;CABA-UE-101 ;ARS;12000000;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;services;Artes Gráficas Duplicación y Equipamiento para Impresión ;2023-01-17T13:30:00-03:00;2023-01-25T12:30:00-03:00;8;2023-01-17T13:01:00-03:00;2023-01-20T13:00:00-03:00;2;FALSO;FALSO;es;03.01.009.0001.1-0;SERVICIO DE MANTENIMIENTO INTEGRAL DE MAQUINA DE IMPRENTA Demás especificaciones deberán ser indicadas por la repartición solicitante   Modelo: El servicio comprende mantenimiento preventivo, incluye revisión completa, ajustes, calibración, provisión de insumos menores y mano de obra Variedad: No aplica ;12;UNIDAD;1000000;ARS;12000000
101-0011-CDI23;Provisión y Servicio Técnico de Mantenimiento de equipo XEROX modelo ED 125; Mantenimiento y reparación de maquinaria y equipo-;complete;CABA-UE-101 ;ARS;12000000;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;services;Artes Gráficas Duplicación y Equipamiento para Impresión ;2023-01-17T13:30:00-03:00;2023-01-25T12:30:00-03:00;8;2023-01-17T13:01:00-03:00;2023-01-20T13:00:00-03:00;2;FALSO;FALSO;es;03.01.009.0001.1-0;SERVICIO DE MANTENIMIENTO INTEGRAL DE MAQUINA DE IMPRENTA Demás especificaciones deberán ser indicadas por la repartición solicitante   Modelo: El servicio comprende mantenimiento preventivo, incluye revisión completa, ajustes, calibración, provisión de insumos menores y mano de obra Variedad: No aplica ;12;UNIDAD;1000000;ARS;12000000
101-0022-LPU23;SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS; Higiene urbana-;cancelled;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;open;LICITACION PUBLICA;goods;Perfumería Limpieza y Contenedores Comerciales e Industriales;2023-01-13T12:00:00-03:00;2023-01-30T12:30:00-03:00;17;2023-01-13T12:30:00-03:00;2023-01-24T18:00:00-03:00;11;FALSO;FALSO;es;18.09.003.0003.1-0;SERVICIO DE RECOLECCION DE RESIDUOS PELIGROSOS . Modelo: Según Ley 24051/PEN/1992. Incluye transporte, tratamiento y disposición final. ;5000;Unidad;0;ARS;0
101-0026-CDI23;Mantenimiento y soporte del Sistema ArchiBa; Otros no especificados precedentemente-;complete;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;goods;Informática ;2023-01-18T12:00:00-03:00;2023-01-25T12:30:00-03:00;7;2023-01-18T12:30:00-03:00;2023-01-19T16:00:00-03:00;1;FALSO;FALSO;es;13.02.004.0001.1-0;SERVICIO DE ADMINISTRACION, MANTENIMIENTO Y ACTUALIZACION DE SOFTWARE . Modelo: El servicio se realizará con recursos especializados, incluye capacitación a personal idoneo ;12;UNIDAD;0;ARS;0
101-0026-CDI23;Mantenimiento y soporte del Sistema ArchiBa; Servicios de consultoria-;complete;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;services;Servicios;2023-01-18T12:00:00-03:00;2023-01-25T12:30:00-03:00;7;2023-01-18T12:30:00-03:00;2023-01-19T16:00:00-03:00;1;FALSO;FALSO;es;34.02.014.0001.2-0;SERVICIO DE CONSULTORIA EN SISTEMAS DE INFORMACION . Modelo: . ;1000;UNIDAD;0;ARS;0
101-0192-CDI23;Servicio de análisis y planifi cación de publicidad exterior; Servicios Especializados-;active;CABA-UE-101 ;ARS;1105000;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;services;Promoción y Publicidad ;2023-02-24T10:30:00-03:00;2023-03-03T12:30:00-03:00;7;2023-02-27T10:30:00-03:00;2023-02-27T10:30:00-03:00;0;FALSO;FALSO;es;31.01.004.0006.1-0;SERVICIO DE MONITOREO DE PUBLICIDAD DEL GCBA . Modelo: Sistematizado y Ad Share para los sistemas de TV y radio ;10;Unidad;110500;ARS;1105000
101-0192-CDI23;Servicio de análisis y planifi cación de publicidad exterior; Servicios Especializados-;active;CABA-UE-101 ;ARS;7854000;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;services;Promoción y Publicidad ;2023-02-24T10:30:00-03:00;2023-03-03T12:30:00-03:00;7;2023-02-27T10:30:00-03:00;2023-02-27T10:30:00-03:00;0;FALSO;FALSO;es;31.01.004.0006.1-0;SERVICIO DE MONITOREO DE PUBLICIDAD DEL GCBA . Modelo: Sistematizado y Ad Share para los sistemas de TV y radio ;10;Unidad;785400;ARS;7854000
101-0210-LPU23;SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS; Higiene urbana-;active;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;open;LICITACION PUBLICA;goods;Perfumería Limpieza y Contenedores Comerciales e Industriales;2023-02-27T12:00:00-03:00;2023-03-07T12:30:00-03:00;8;2023-02-27T12:30:00-03:00;2023-03-01T17:00:00-03:00;2;FALSO;FALSO;es;18.09.003.0003.1-0;SERVICIO DE RECOLECCION DE RESIDUOS PELIGROSOS . Modelo: Según Ley 24051/PEN/1992. Incluye transporte, tratamiento y disposición final. ;5000;Unidad;0;ARS;0
101-1874-CDI22;Servicio de consultoría para optimización, complemento y mantenimiento evolutivo de plataforma; Otros no especificados precedentemente-;complete;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;goods;Informática ;2023-01-03T14:15:00-03:00;2023-01-10T12:30:00-03:00;7;2023-01-03T14:20:00-03:00;2023-01-04T17:00:00-03:00;1;FALSO;FALSO;es;13.03.002.0001.2-0;SERVICIO DE RELEVAMIENTO, ANALISIS, DISEÑO Y EJECUCION DE SOFTWARE . Modelo: Para página Web ;6500;UNIDAD;0;ARS;0
101-1874-CDI22;Servicio de consultoría para optimización, complemento y mantenimiento evolutivo de plataforma; Otros no especificados precedentemente-;complete;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;goods;Informática ;2023-01-03T14:15:00-03:00;2023-01-10T12:30:00-03:00;7;2023-01-03T14:20:00-03:00;2023-01-04T17:00:00-03:00;1;FALSO;FALSO;es;13.03.002.0001.2-0;SERVICIO DE RELEVAMIENTO, ANALISIS, DISEÑO Y EJECUCION DE SOFTWARE . Modelo: Para página Web ;6500;UNIDAD;0;ARS;0
101-1874-CDI22;Servicio de consultoría para optimización, complemento y mantenimiento evolutivo de plataforma; Otros no especificados precedentemente-;complete;CABA-UE-101 ;ARS;0;SECRETARIA LEGAL Y TECNICA;direct;CONTRATACION DIRECTA;goods;Informática ;2023-01-03T14:15:00-03:00;2023-01-10T12:30:00-03:00;7;2023-01-03T14:20:00-03:00;2023-01-04T17:00:00-03:00;1;FALSO;FALSO;es;13.03.002.0001.2-0;SERVICIO DE RELEVAMIENTO, ANALISIS, DISEÑO Y EJECUCION DE SOFTWARE . Modelo: Para página Web ;6500;UNIDAD;0;ARS;0
2051-0175-CDI23;“Servicio de capacitación en liderazgo Ecosistémico en el marco de la Teoría U”; Servicios Especializados-;active;CABA-UE-2051 ;ARS;0;JEFATURA DE GABINETE DE MINISTROS;direct;CONTRATACION DIRECTA;services;Servicios;2023-02-15T10:02:00-03:00;2023-02-22T12:59:00-03:00;7;2023-02-15T10:01:00-03:00;2023-02-16T17:00:00-03:00;1;FALSO;FALSO;es;34.02.001.0001.3-0;CURSO DE CAPACITACION . Modelo: Se deberá indicar personería (física y/o jurídica) del servicio a contratar ;5;Unidad;0;ARS;0
2051-0175-CDI23;“Servicio de capacitación en liderazgo Ecosistémico en el marco de la Teoría U”; Servicios Especializados-;active;CABA-UE-2051 ;ARS;0;JEFATURA DE GABINETE DE MINISTROS;direct;CONTRATACION DIRECTA;services;Servicios;2023-02-15T10:02:00-03:00;2023-02-22T12:59:00-03:00;7;2023-02-15T10:01:00-03:00;2023-02-16T17:00:00-03:00;1;FALSO;FALSO;es;34.02.001.0001.3-0;CURSO DE CAPACITACION . Modelo: Se deberá indicar personería (física y/o jurídica) del servicio a contratar ;4;Unidad;0;ARS;0
2051-4079-CME22;Servicio de Consultoría para el Diseño, Implementación e Infraestructura para Boti-Estaciones; Sistemas informáticos y de registro-;cancelled;CABA-UE-2051 ;ARS;4500000;JEFATURA DE GABINETE DE MINISTROS;direct;CONTRATACION MENOR;goods;Informática ;2023-01-02T10:02:00-03:00;2023-01-12T12:59:00-03:00;10;2023-01-02T10:01:00-03:00;2023-01-10T17:00:00-03:00;8;FALSO;FALSO;es;13.03.001.0024.1-0;SERVICIOS DE INFORMATICA Y SISTEMAS COMPUTARIZADOS . Modelo: Según requerimientos particulares de la repartición solicitante ;1;UNIDAD;4500000;ARS;4500000
2180-0276-CME23;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION; Servicios Especializados-;complete;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;2400000;;direct;CONTRATACION MENOR;services;Promoción y Publicidad ;2023-02-13T12:00:00-03:00;2023-02-13T12:00:00-03:00;0;2023-02-08T11:00:00-03:00;2023-02-10T12:00:00-03:00;2;FALSO;FALSO;es;31.01.004.0003.1-0;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION    Modelo: Según requerimientos particulares de la repartición solicitante ;12;Unidad;200000;ARS;2400000
2180-0276-CME23;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION; Servicios Especializados-;complete;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;2400000;;direct;CONTRATACION MENOR;services;Promoción y Publicidad ;2023-02-13T12:00:00-03:00;2023-02-13T12:00:00-03:00;0;2023-02-08T11:00:00-03:00;2023-02-10T12:00:00-03:00;2;FALSO;FALSO;es;31.01.004.0003.1-0;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION    Modelo: Según requerimientos particulares de la repartición solicitante ;12;Unidad;200000;ARS;2400000
2180-0276-CME23;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION; Servicios Especializados-;complete;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;2400000;;direct;CONTRATACION MENOR;services;Promoción y Publicidad ;2023-02-13T12:00:00-03:00;2023-02-13T12:00:00-03:00;0;2023-02-08T11:00:00-03:00;2023-02-10T12:00:00-03:00;2;FALSO;FALSO;es;31.01.004.0003.1-0;SERVICIO DE AUDITORIA DE MEDIOS DE COMUNICACION    Modelo: Según requerimientos particulares de la repartición solicitante ;12;Unidad;200000;ARS;2400000
2180-0394-CME23;Adquisición de equipamiento fotográfico y accesorios.; Útiles y materiales eléctricos-;active;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;60000;;direct;CONTRATACION MENOR;works;Construcción ;2023-02-28T12:00:00-03:00;2023-02-28T12:00:00-03:00;0;2023-02-17T12:00:00-03:00;2023-02-24T17:00:00-03:00;7;FALSO;FALSO;es;06.05.013.0000.11-0;BATERIA RECARGABLE . Modelo: De 14,4 V, 24 A/h, de gel absorbido, libre de emisiones de gases, para mesa para cirugía marca MEDILAND, modelo a P2000 SMART CLASSIC ;2;UNIDADES;30000;ARS;60000
2180-0394-CME23;Adquisición de equipamiento fotográfico y accesorios.; Equipo educacional, cultural y recreativo-;active;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;1300000;;direct;CONTRATACION MENOR;goods;Electricidad y Electrónica;2023-02-28T12:00:00-03:00;2023-02-28T12:00:00-03:00;0;2023-02-17T12:00:00-03:00;2023-02-24T17:00:00-03:00;7;FALSO;FALSO;es;09.02.019.0016.26-0;LENTE ZOOM . Modelo: De 24 a 240 mm de distancia focal, alta luminosidad, enfoque automático y estabilizador, completo con accesorios. ;1;UNIDAD;1300000;ARS;1300000
2180-0394-CME23;Adquisición de equipamiento fotográfico y accesorios.; Equipo educacional, cultural y recreativo-;active;CABA-UE-2180 – MINISTERIO DE GOBIERNO;ARS;180000;;direct;CONTRATACION MENOR;goods;Electricidad y Electrónica;2023-02-28T12:00:00-03:00;2023-02-28T12:00:00-03:00;0;2023-02-17T12:00:00-03:00;2023-02-24T17:00:00-03:00;7;FALSO;FALSO;es;09.02.019.0029.1-0;GRIP PARA CAMARA FOTOGRAFICA-VIDEO . Modelo: Podrá tener batería extendida, repetición de comandos principales, etc.. Completo con accesorios. ;1;UNIDAD;180000;ARS;180000
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;9759152,61;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;9759152,61;ARS;9759152,61
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;9224734,51;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;9224734,51;ARS;9224734,51
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;8690211,05;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;8690211,05;ARS;8690211,05
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;10300707,25;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;10300707,25;ARS;10300707,25
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;27938866,68;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;27938866,68;ARS;27938866,68
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;7982550,19;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;7982550,19;ARS;7982550,19
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;8113309,09;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;8113309,09;ARS;8113309,09
2900-0009-LPU23;Adquisición, ensamble e instalación de módulos equipados para el Centro de Monitoreo Urbano Sur; Equipos varios-;complete;CABA-UE-2900 ;ARS;10346106,75;PLAN DE SEGURIDAD  PUBLICA;open;LICITACION PUBLICA;works;Cultura Deporte y Recreación;2023-01-26T12:45:00-03:00;2023-02-03T12:59:00-03:00;8;2023-01-26T12:45:00-03:00;2023-02-02T13:00:00-03:00;7;FALSO;FALSO;es;26.02.002.0012.4-0;ESTRUCTURA REMOVIBLE - DOMO . Modelo: De 4,60 m de altura máxima por 7,40 m de diámetro aproximadamente, de aluminio, modular, desarmable con cobertura de lona traslucida. completa con accesorios. ;1;UNIDAD;10346106,75;ARS;10346106,75
